discount_20240615_1838;order_id;product_id;quantity_20240615_1838;unit_price_20240615_1838;discount_20240615_1840;quantity_20240615_1840;unit_price_20240615_1840;discount_20240615_2236;quantity_20240615_2236;unit_price_20240615_2236;discount;quantity;unit_price;customer_id;employee_id;freight;order_date;order_id;required_date;ship_address;ship_city;ship_country;ship_name;ship_postal_code;ship_region;ship_via;shipped_date
0;10447;19;40;7.3;0;40;7.3;0;40;7.3;0;40;7.3;RICAR;4;68.66;1997-02-14;10447;1997-03-14;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;2;1997-03-07
0;10447;65;35;16.8;0;35;16.8;0;35;16.8;0;35;16.8;RICAR;4;68.66;1997-02-14;10447;1997-03-14;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;2;1997-03-07
0;10447;71;2;17.2;0;2;17.2;0;2;17.2;0;2;17.2;RICAR;4;68.66;1997-02-14;10447;1997-03-14;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;2;1997-03-07
0;10448;26;6;24.9;0;6;24.9;0;6;24.9;0;6;24.9;RANCH;4;38.82;1997-02-17;10448;1997-03-17;Av. del Libertador 900;Buenos Aires;Argentina;Rancho grande;1010;;2;1997-02-24
0;10448;40;20;14.7;0;20;14.7;0;20;14.7;0;20;14.7;RANCH;4;38.82;1997-02-17;10448;1997-03-17;Av. del Libertador 900;Buenos Aires;Argentina;Rancho grande;1010;;2;1997-02-24
0;10449;10;14;24.8;0;14;24.8;0;14;24.8;0;14;24.8;BLONP;3;53.3;1997-02-18;10449;1997-03-18;24, place Kléber;Strasbourg;France;Blondel père et fils;67000;;2;1997-02-27
0;10449;52;20;5.6;0;20;5.6;0;20;5.6;0;20;5.6;BLONP;3;53.3;1997-02-18;10449;1997-03-18;24, place Kléber;Strasbourg;France;Blondel père et fils;67000;;2;1997-02-27
0;10449;62;35;39.4;0;35;39.4;0;35;39.4;0;35;39.4;BLONP;3;53.3;1997-02-18;10449;1997-03-18;24, place Kléber;Strasbourg;France;Blondel père et fils;67000;;2;1997-02-27
0.2;10450;10;20;24.8;0.2;20;24.8;0.2;20;24.8;0.2;20;24.8;VICTE;8;7.23;1997-02-19;10450;1997-03-19;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;2;1997-03-11
0.2;10450;54;6;5.9;0.2;6;5.9;0.2;6;5.9;0.2;6;5.9;VICTE;8;7.23;1997-02-19;10450;1997-03-19;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;2;1997-03-11
0.1;10451;55;120;19.2;0.1;120;19.2;0.1;120;19.2;0.1;120;19.2;QUICK;4;189.09;1997-02-19;10451;1997-03-05;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1997-03-12
0.1;10451;64;35;26.6;0.1;35;26.6;0.1;35;26.6;0.1;35;26.6;QUICK;4;189.09;1997-02-19;10451;1997-03-05;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1997-03-12
0.1;10451;65;28;16.8;0.1;28;16.8;0.1;28;16.8;0.1;28;16.8;QUICK;4;189.09;1997-02-19;10451;1997-03-05;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1997-03-12
0.1;10451;77;55;10.4;0.1;55;10.4;0.1;55;10.4;0.1;55;10.4;QUICK;4;189.09;1997-02-19;10451;1997-03-05;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1997-03-12
0;10452;28;15;36.4;0;15;36.4;0;15;36.4;0;15;36.4;SAVEA;8;140.26;1997-02-20;10452;1997-03-20;187 Suffolk Ln.;Boise;USA;Save-a-lot Markets;83720;ID;1;1997-02-26
0.05;10452;44;100;15.5;0.05;100;15.5;0.05;100;15.5;0.05;100;15.5;SAVEA;8;140.26;1997-02-20;10452;1997-03-20;187 Suffolk Ln.;Boise;USA;Save-a-lot Markets;83720;ID;1;1997-02-26
0.1;10453;48;15;10.2;0.1;15;10.2;0.1;15;10.2;0.1;15;10.2;AROUT;1;25.36;1997-02-21;10453;1997-03-21;Brook Farm Stratford St. Mary;Colchester;UK;Around the Horn;CO7 6JX;Essex;2;1997-02-26
0.1;10453;70;25;12;0.1;25;12;0.1;25;12;0.1;25;12;AROUT;1;25.36;1997-02-21;10453;1997-03-21;Brook Farm Stratford St. Mary;Colchester;UK;Around the Horn;CO7 6JX;Essex;2;1997-02-26
0.2;10454;16;20;13.9;0.2;20;13.9;0.2;20;13.9;0.2;20;13.9;LAMAI;4;2.74;1997-02-21;10454;1997-03-21;1 rue Alsace-Lorraine;Toulouse;France;'La maison d''Asie';31000;;3;1997-02-25
0.2;10454;33;20;2;0.2;20;2;0.2;20;2;0.2;20;2;LAMAI;4;2.74;1997-02-21;10454;1997-03-21;1 rue Alsace-Lorraine;Toulouse;France;'La maison d''Asie';31000;;3;1997-02-25
0.2;10454;46;10;9.6;0.2;10;9.6;0.2;10;9.6;0.2;10;9.6;LAMAI;4;2.74;1997-02-21;10454;1997-03-21;1 rue Alsace-Lorraine;Toulouse;France;'La maison d''Asie';31000;;3;1997-02-25
0;10455;39;20;14.4;0;20;14.4;0;20;14.4;0;20;14.4;WARTH;8;180.45;1997-02-24;10455;1997-04-07;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;2;1997-03-03
0;10455;53;50;26.2;0;50;26.2;0;50;26.2;0;50;26.2;WARTH;8;180.45;1997-02-24;10455;1997-04-07;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;2;1997-03-03
0;10455;61;25;22.8;0;25;22.8;0;25;22.8;0;25;22.8;WARTH;8;180.45;1997-02-24;10455;1997-04-07;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;2;1997-03-03
0;10455;71;30;17.2;0;30;17.2;0;30;17.2;0;30;17.2;WARTH;8;180.45;1997-02-24;10455;1997-04-07;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;2;1997-03-03
0.15;10456;21;40;8;0.15;40;8;0.15;40;8;0.15;40;8;KOENE;8;8.12;1997-02-25;10456;1997-04-08;Maubelstr. 90;Brandenburg;Germany;Königlich Essen;14776;;2;1997-02-28
0.15;10456;49;21;16;0.15;21;16;0.15;21;16;0.15;21;16;KOENE;8;8.12;1997-02-25;10456;1997-04-08;Maubelstr. 90;Brandenburg;Germany;Königlich Essen;14776;;2;1997-02-28
0;10457;59;36;44;0;36;44;0;36;44;0;36;44;KOENE;2;11.57;1997-02-25;10457;1997-03-25;Maubelstr. 90;Brandenburg;Germany;Königlich Essen;14776;;1;1997-03-03
0;10458;26;30;24.9;0;30;24.9;0;30;24.9;0;30;24.9;SUPRD;7;147.06;1997-02-26;10458;1997-03-26;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-04
0;10458;28;30;36.4;0;30;36.4;0;30;36.4;0;30;36.4;SUPRD;7;147.06;1997-02-26;10458;1997-03-26;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-04
0;10458;43;20;36.8;0;20;36.8;0;20;36.8;0;20;36.8;SUPRD;7;147.06;1997-02-26;10458;1997-03-26;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-04
0;10458;56;15;30.4;0;15;30.4;0;15;30.4;0;15;30.4;SUPRD;7;147.06;1997-02-26;10458;1997-03-26;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-04
0;10458;71;50;17.2;0;50;17.2;0;50;17.2;0;50;17.2;SUPRD;7;147.06;1997-02-26;10458;1997-03-26;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-04
0.05;10459;7;16;24;0.05;16;24;0.05;16;24;0.05;16;24;VICTE;4;25.09;1997-02-27;10459;1997-03-27;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;2;1997-02-28
0.05;10459;46;20;9.6;0.05;20;9.6;0.05;20;9.6;0.05;20;9.6;VICTE;4;25.09;1997-02-27;10459;1997-03-27;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;2;1997-02-28
0;10459;72;40;27.8;0;40;27.8;0;40;27.8;0;40;27.8;VICTE;4;25.09;1997-02-27;10459;1997-03-27;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;2;1997-02-28
0.25;10460;68;21;10;0.25;21;10;0.25;21;10;0.25;21;10;FOLKO;8;16.27;1997-02-28;10460;1997-03-28;Åkergatan 24;Bräcke;Sweden;Folk och fä HB;S-844 67;;1;1997-03-03
0.25;10460;75;4;6.2;0.25;4;6.2;0.25;4;6.2;0.25;4;6.2;FOLKO;8;16.27;1997-02-28;10460;1997-03-28;Åkergatan 24;Bräcke;Sweden;Folk och fä HB;S-844 67;;1;1997-03-03
0.25;10461;21;40;8;0.25;40;8;0.25;40;8;0.25;40;8;LILAS;1;148.61;1997-02-28;10461;1997-03-28;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1997-03-05
0.25;10461;30;28;20.7;0.25;28;20.7;0.25;28;20.7;0.25;28;20.7;LILAS;1;148.61;1997-02-28;10461;1997-03-28;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1997-03-05
0.25;10461;55;60;19.2;0.25;60;19.2;0.25;60;19.2;0.25;60;19.2;LILAS;1;148.61;1997-02-28;10461;1997-03-28;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1997-03-05
0;10462;13;1;4.8;0;1;4.8;0;1;4.8;0;1;4.8;CONSH;2;6.17;1997-03-03;10462;1997-03-31;Berkeley Gardens 12  Brewery;London;UK;Consolidated Holdings;WX1 6LT;;1;1997-03-18
0;10462;23;21;7.2;0;21;7.2;0;21;7.2;0;21;7.2;CONSH;2;6.17;1997-03-03;10462;1997-03-31;Berkeley Gardens 12  Brewery;London;UK;Consolidated Holdings;WX1 6LT;;1;1997-03-18
0;10463;19;21;7.3;0;21;7.3;0;21;7.3;0;21;7.3;SUPRD;5;14.78;1997-03-04;10463;1997-04-01;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-06
0;10463;42;50;11.2;0;50;11.2;0;50;11.2;0;50;11.2;SUPRD;5;14.78;1997-03-04;10463;1997-04-01;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;3;1997-03-06
0.2;10464;4;16;17.6;0.2;16;17.6;0.2;16;17.6;0.2;16;17.6;FURIB;4;89.0;1997-03-04;10464;1997-04-01;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;2;1997-03-14
0;10464;43;3;36.8;0;3;36.8;0;3;36.8;0;3;36.8;FURIB;4;89.0;1997-03-04;10464;1997-04-01;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;2;1997-03-14
0.2;10464;56;30;30.4;0.2;30;30.4;0.2;30;30.4;0.2;30;30.4;FURIB;4;89.0;1997-03-04;10464;1997-04-01;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;2;1997-03-14
0;10464;60;20;27.2;0;20;27.2;0;20;27.2;0;20;27.2;FURIB;4;89.0;1997-03-04;10464;1997-04-01;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;2;1997-03-14
0;10465;24;25;3.6;0;25;3.6;0;25;3.6;0;25;3.6;VAFFE;1;145.04;1997-03-05;10465;1997-04-02;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;3;1997-03-14
0.1;10465;29;18;99;0.1;18;99;0.1;18;99;0.1;18;99;VAFFE;1;145.04;1997-03-05;10465;1997-04-02;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;3;1997-03-14
0;10465;40;20;14.7;0;20;14.7;0;20;14.7;0;20;14.7;VAFFE;1;145.04;1997-03-05;10465;1997-04-02;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;3;1997-03-14
0.1;10465;45;30;7.6;0.1;30;7.6;0.1;30;7.6;0.1;30;7.6;VAFFE;1;145.04;1997-03-05;10465;1997-04-02;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;3;1997-03-14
0;10465;50;25;13;0;25;13;0;25;13;0;25;13;VAFFE;1;145.04;1997-03-05;10465;1997-04-02;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;3;1997-03-14
0;10466;11;10;16.8;0;10;16.8;0;10;16.8;0;10;16.8;COMMI;4;11.93;1997-03-06;10466;1997-04-03;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1997-03-13
0;10466;46;5;9.6;0;5;9.6;0;5;9.6;0;5;9.6;COMMI;4;11.93;1997-03-06;10466;1997-04-03;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1997-03-13
0;10467;24;28;3.6;0;28;3.6;0;28;3.6;0;28;3.6;MAGAA;8;4.93;1997-03-06;10467;1997-04-03;Via Ludovico il Moro 22;Bergamo;Italy;Magazzini Alimentari Riuniti;24100;;2;1997-03-11
0;10467;25;12;11.2;0;12;11.2;0;12;11.2;0;12;11.2;MAGAA;8;4.93;1997-03-06;10467;1997-04-03;Via Ludovico il Moro 22;Bergamo;Italy;Magazzini Alimentari Riuniti;24100;;2;1997-03-11
0;10468;30;8;20.7;0;8;20.7;0;8;20.7;0;8;20.7;KOENE;3;44.12;1997-03-07;10468;1997-04-04;Maubelstr. 90;Brandenburg;Germany;Königlich Essen;14776;;3;1997-03-12
0;10468;43;15;36.8;0;15;36.8;0;15;36.8;0;15;36.8;KOENE;3;44.12;1997-03-07;10468;1997-04-04;Maubelstr. 90;Brandenburg;Germany;Königlich Essen;14776;;3;1997-03-12
0.15;10469;2;40;15.2;0.15;40;15.2;0.15;40;15.2;0.15;40;15.2;WHITC;1;60.18;1997-03-10;10469;1997-04-07;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;1;1997-03-14
0.15;10469;16;35;13.9;0.15;35;13.9;0.15;35;13.9;0.15;35;13.9;WHITC;1;60.18;1997-03-10;10469;1997-04-07;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;1;1997-03-14
0.15;10469;44;2;15.5;0.15;2;15.5;0.15;2;15.5;0.15;2;15.5;WHITC;1;60.18;1997-03-10;10469;1997-04-07;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;1;1997-03-14
0;10470;18;30;50;0;30;50;0;30;50;0;30;50;BONAP;4;64.56;1997-03-11;10470;1997-04-08;12, rue des Bouchers;Marseille;France;'Bon app''';13008;;2;1997-03-14
0;10470;23;15;7.2;0;15;7.2;0;15;7.2;0;15;7.2;BONAP;4;64.56;1997-03-11;10470;1997-04-08;12, rue des Bouchers;Marseille;France;'Bon app''';13008;;2;1997-03-14
0;10470;64;8;26.6;0;8;26.6;0;8;26.6;0;8;26.6;BONAP;4;64.56;1997-03-11;10470;1997-04-08;12, rue des Bouchers;Marseille;France;'Bon app''';13008;;2;1997-03-14
0;10471;7;30;24;0;30;24;0;30;24;0;30;24;BSBEV;2;45.59;1997-03-11;10471;1997-04-08;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1997-03-18
0;10471;56;20;30.4;0;20;30.4;0;20;30.4;0;20;30.4;BSBEV;2;45.59;1997-03-11;10471;1997-04-08;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1997-03-18
0.05;10472;24;80;3.6;0.05;80;3.6;0.05;80;3.6;0.05;80;3.6;SEVES;8;4.2;1997-03-12;10472;1997-04-09;90 Wadhurst Rd.;London;UK;Seven Seas Imports;OX15 4NB;;1;1997-03-19
0;10472;51;18;42.4;0;18;42.4;0;18;42.4;0;18;42.4;SEVES;8;4.2;1997-03-12;10472;1997-04-09;90 Wadhurst Rd.;London;UK;Seven Seas Imports;OX15 4NB;;1;1997-03-19
0;10473;33;12;2;0;12;2;0;12;2;0;12;2;ISLAT;1;16.37;1997-03-13;10473;1997-03-27;Garden House Crowther Way;Cowes;UK;Island Trading;PO31 7PJ;Isle of Wight;3;1997-03-21
0;10473;71;12;17.2;0;12;17.2;0;12;17.2;0;12;17.2;ISLAT;1;16.37;1997-03-13;10473;1997-03-27;Garden House Crowther Way;Cowes;UK;Island Trading;PO31 7PJ;Isle of Wight;3;1997-03-21
0;10474;14;12;18.6;0;12;18.6;0;12;18.6;0;12;18.6;PERIC;5;83.49;1997-03-13;10474;1997-04-10;Calle Dr. Jorge Cash 321;México D.F.;Mexico;Pericles Comidas clásicas;05033;;2;1997-03-21
0;10474;28;18;36.4;0;18;36.4;0;18;36.4;0;18;36.4;PERIC;5;83.49;1997-03-13;10474;1997-04-10;Calle Dr. Jorge Cash 321;México D.F.;Mexico;Pericles Comidas clásicas;05033;;2;1997-03-21
0;10474;40;21;14.7;0;21;14.7;0;21;14.7;0;21;14.7;PERIC;5;83.49;1997-03-13;10474;1997-04-10;Calle Dr. Jorge Cash 321;México D.F.;Mexico;Pericles Comidas clásicas;05033;;2;1997-03-21
0;10474;75;10;6.2;0;10;6.2;0;10;6.2;0;10;6.2;PERIC;5;83.49;1997-03-13;10474;1997-04-10;Calle Dr. Jorge Cash 321;México D.F.;Mexico;Pericles Comidas clásicas;05033;;2;1997-03-21
0.15;10475;31;35;10;0.15;35;10;0.15;35;10;0.15;35;10;SUPRD;9;68.52;1997-03-14;10475;1997-04-11;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;1;1997-04-04
0.15;10475;66;60;13.6;0.15;60;13.6;0.15;60;13.6;0.15;60;13.6;SUPRD;9;68.52;1997-03-14;10475;1997-04-11;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;1;1997-04-04
0.15;10475;76;42;14.4;0.15;42;14.4;0.15;42;14.4;0.15;42;14.4;SUPRD;9;68.52;1997-03-14;10475;1997-04-11;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;1;1997-04-04
0.05;10476;55;2;19.2;0.05;2;19.2;0.05;2;19.2;0.05;2;19.2;HILAA;8;4.41;1997-03-17;10476;1997-04-14;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;3;1997-03-24
0;10476;70;12;12;0;12;12;0;12;12;0;12;12;HILAA;8;4.41;1997-03-17;10476;1997-04-14;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;3;1997-03-24
0;10477;1;15;14.4;0;15;14.4;0;15;14.4;0;15;14.4;PRINI;5;13.02;1997-03-17;10477;1997-04-14;Estrada da saúde n. 58;Lisboa;Portugal;Princesa Isabel Vinhos;1756;;2;1997-03-25
0.25;10477;21;21;8;0.25;21;8;0.25;21;8;0.25;21;8;PRINI;5;13.02;1997-03-17;10477;1997-04-14;Estrada da saúde n. 58;Lisboa;Portugal;Princesa Isabel Vinhos;1756;;2;1997-03-25
0.25;10477;39;20;14.4;0.25;20;14.4;0.25;20;14.4;0.25;20;14.4;PRINI;5;13.02;1997-03-17;10477;1997-04-14;Estrada da saúde n. 58;Lisboa;Portugal;Princesa Isabel Vinhos;1756;;2;1997-03-25
0.05;10478;10;20;24.8;0.05;20;24.8;0.05;20;24.8;0.05;20;24.8;VICTE;2;4.81;1997-03-18;10478;1997-04-01;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;3;1997-03-26
0;10479;38;30;210.8;0;30;210.8;0;30;210.8;0;30;210.8;RATTC;3;708.95;1997-03-19;10479;1997-04-16;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1997-03-21
0;10479;53;28;26.2;0;28;26.2;0;28;26.2;0;28;26.2;RATTC;3;708.95;1997-03-19;10479;1997-04-16;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1997-03-21
0;10479;59;60;44;0;60;44;0;60;44;0;60;44;RATTC;3;708.95;1997-03-19;10479;1997-04-16;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1997-03-21
0;10479;64;30;26.6;0;30;26.6;0;30;26.6;0;30;26.6;RATTC;3;708.95;1997-03-19;10479;1997-04-16;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1997-03-21
0;10480;47;30;7.6;0;30;7.6;0;30;7.6;0;30;7.6;FOLIG;6;1.35;1997-03-20;10480;1997-04-17;184, chaussée de Tournai;Lille;France;Folies gourmandes;59000;;2;1997-03-24
0;10480;59;12;44;0;12;44;0;12;44;0;12;44;FOLIG;6;1.35;1997-03-20;10480;1997-04-17;184, chaussée de Tournai;Lille;France;Folies gourmandes;59000;;2;1997-03-24
0;10481;49;24;16;0;24;16;0;24;16;0;24;16;RICAR;8;64.33;1997-03-20;10481;1997-04-17;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;2;1997-03-25
0;10481;60;40;27.2;0;40;27.2;0;40;27.2;0;40;27.2;RICAR;8;64.33;1997-03-20;10481;1997-04-17;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;2;1997-03-25
0;10482;40;10;14.7;0;10;14.7;0;10;14.7;0;10;14.7;LAZYK;1;7.48;1997-03-21;10482;1997-04-18;12 Orchestra Terrace;Walla Walla;USA;Lazy K Kountry Store;99362;WA;3;1997-04-10
0.05;10483;34;35;11.2;0.05;35;11.2;0.05;35;11.2;0.05;35;11.2;WHITC;7;15.28;1997-03-24;10483;1997-04-21;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;2;1997-04-25
0.05;10483;77;30;10.4;0.05;30;10.4;0.05;30;10.4;0.05;30;10.4;WHITC;7;15.28;1997-03-24;10483;1997-04-21;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;2;1997-04-25
0;10484;21;14;8;0;14;8;0;14;8;0;14;8;BSBEV;3;6.88;1997-03-24;10484;1997-04-21;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1997-04-01
0;10484;40;10;14.7;0;10;14.7;0;10;14.7;0;10;14.7;BSBEV;3;6.88;1997-03-24;10484;1997-04-21;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1997-04-01
0;10484;51;3;42.4;0;3;42.4;0;3;42.4;0;3;42.4;BSBEV;3;6.88;1997-03-24;10484;1997-04-21;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1997-04-01
0.1;10485;2;20;15.2;0.1;20;15.2;0.1;20;15.2;0.1;20;15.2;LINOD;4;64.45;1997-03-25;10485;1997-04-08;Ave. 5 de Mayo Porlamar;I. de Margarita;Venezuela;LINO-Delicateses;4980;Nueva Esparta;2;1997-03-31
0.1;10485;3;20;8;0.1;20;8;0.1;20;8;0.1;20;8;LINOD;4;64.45;1997-03-25;10485;1997-04-08;Ave. 5 de Mayo Porlamar;I. de Margarita;Venezuela;LINO-Delicateses;4980;Nueva Esparta;2;1997-03-31
0.1;10485;55;30;19.2;0.1;30;19.2;0.1;30;19.2;0.1;30;19.2;LINOD;4;64.45;1997-03-25;10485;1997-04-08;Ave. 5 de Mayo Porlamar;I. de Margarita;Venezuela;LINO-Delicateses;4980;Nueva Esparta;2;1997-03-31
0.1;10485;70;60;12;0.1;60;12;0.1;60;12;0.1;60;12;LINOD;4;64.45;1997-03-25;10485;1997-04-08;Ave. 5 de Mayo Porlamar;I. de Margarita;Venezuela;LINO-Delicateses;4980;Nueva Esparta;2;1997-03-31
0;10486;11;5;16.8;0;5;16.8;0;5;16.8;0;5;16.8;HILAA;1;30.53;1997-03-26;10486;1997-04-23;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-02
0;10486;51;25;42.4;0;25;42.4;0;25;42.4;0;25;42.4;HILAA;1;30.53;1997-03-26;10486;1997-04-23;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-02
0;10486;74;16;8;0;16;8;0;16;8;0;16;8;HILAA;1;30.53;1997-03-26;10486;1997-04-23;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-02
0;10487;19;5;7.3;0;5;7.3;0;5;7.3;0;5;7.3;QUEEN;2;71.07;1997-03-26;10487;1997-04-23;Alameda dos Canàrios, 891;Sao Paulo;Brazil;Queen Cozinha;05487-020;SP;2;1997-03-28
0;10487;26;30;24.9;0;30;24.9;0;30;24.9;0;30;24.9;QUEEN;2;71.07;1997-03-26;10487;1997-04-23;Alameda dos Canàrios, 891;Sao Paulo;Brazil;Queen Cozinha;05487-020;SP;2;1997-03-28
0.25;10487;54;24;5.9;0.25;24;5.9;0.25;24;5.9;0.25;24;5.9;QUEEN;2;71.07;1997-03-26;10487;1997-04-23;Alameda dos Canàrios, 891;Sao Paulo;Brazil;Queen Cozinha;05487-020;SP;2;1997-03-28
0;10488;59;30;44;0;30;44;0;30;44;0;30;44;FRANK;8;4.93;1997-03-27;10488;1997-04-24;Berliner Platz 43;München;Germany;Frankenversand;80805;;2;1997-04-02
0.2;10488;73;20;12;0.2;20;12;0.2;20;12;0.2;20;12;FRANK;8;4.93;1997-03-27;10488;1997-04-24;Berliner Platz 43;München;Germany;Frankenversand;80805;;2;1997-04-02
0.25;10489;11;15;16.8;0.25;15;16.8;0.25;15;16.8;0.25;15;16.8;PICCO;6;5.29;1997-03-28;10489;1997-04-25;Geislweg 14;Salzburg;Austria;Piccolo und mehr;5020;;2;1997-04-09
0;10489;16;18;13.9;0;18;13.9;0;18;13.9;0;18;13.9;PICCO;6;5.29;1997-03-28;10489;1997-04-25;Geislweg 14;Salzburg;Austria;Piccolo und mehr;5020;;2;1997-04-09
0;10490;59;60;44;0;60;44;0;60;44;0;60;44;HILAA;7;210.19;1997-03-31;10490;1997-04-28;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-03
0;10490;68;30;10;0;30;10;0;30;10;0;30;10;HILAA;7;210.19;1997-03-31;10490;1997-04-28;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-03
0;10490;75;36;6.2;0;36;6.2;0;36;6.2;0;36;6.2;HILAA;7;210.19;1997-03-31;10490;1997-04-28;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;2;1997-04-03
0.15;10491;44;15;15.5;0.15;15;15.5;0.15;15;15.5;0.15;15;15.5;FURIB;8;16.96;1997-03-31;10491;1997-04-28;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;3;1997-04-08
0.15;10491;77;7;10.4;0.15;7;10.4;0.15;7;10.4;0.15;7;10.4;FURIB;8;16.96;1997-03-31;10491;1997-04-28;Jardim das rosas n. 32;Lisboa;Portugal;Furia Bacalhau e Frutos do Mar;1675;;3;1997-04-08
0.05;10492;25;60;11.2;0.05;60;11.2;0.05;60;11.2;0.05;60;11.2;BOTTM;3;62.89;1997-04-01;10492;1997-04-29;23 Tsawassen Blvd.;Tsawassen;Canada;Bottom-Dollar Markets;T2F 8M4;BC;1;1997-04-11
